CODDIS,CODDEP,IndPresidente,IndSenaNacion,IndDipuNacion,IndGobernador,IndSenaProvin,IndDipuProvin,IndDipuMunici,IndTribCuenta
"04","023","0","0","1","0","0","0","0","0"
"04","024","0","0","1","0","0","0","0","0"
"04","025","0","0","1","0","0","0","0","0"
"04","026","0","0","1","0","0","0","0","0"
"04","999","0","0","1","0","0","0","0","0"
"05","001","0","0","1","0","0","0","0","0"
"05","002","0","0","1","0","0","0","0","0"
"05","003","0","0","1","0","0","0","0","0"
"05","004","0","0","1","0","0","0","0","0"
"05","005","0","0","1","0","0","0","0","0"
"05","006","0","0","1","0","0","0","0","0"
"05","007","0","0","1","0","0","0","0","0"
"05","008","0","0","1","0","0","0","0","0"
"05","009","0","0","1","0","0","0","0","0"
"05","010","0","0","1","0","0","0","0","0"
"05","011","0","0","1","0","0","0","0","0"
"05","012","0","0","1","0","0","0","0","0"
"05","013","0","0","1","0","0","0","0","0"
"05","014","0","0","1","0","0","0","0","0"
"05","015","0","0","1","0","0","0","0","0"
"05","016","0","0","1","0","0","0","0","0"
"05","017","0","0","1","0","0","0","0","0"
"05","018","0","0","1","0","0","0","0","0"
"05","019","0","0","1","0","0","0","0","0"
"05","020","0","0","1","0","0","0","0","0"
"05","021","0","0","1","0","0","0","0","0"
"05","022","0","0","1","0","0","0","0","0"
"05","023","0","0","1","0","0","0","0","0"
"05","024","0","0","1","0","0","0","0","0"
"05","025","0","0","1","0","0","0","0","0"
"05","999","0","0","1","0","0","0","0","0"
"06","001","0","1","1","0","0","1","0","0"
"06","002","0","1","1","0","0","1","0","0"
"06","003","0","1","1","0","0","1","0","0"
"06","004","0","1","1","0","0","1","0","0"
"06","005","0","1","1","0","0","1","0","0"
"06","006","0","1","1","0","0","1","0","0"
"06","007","0","1","1","0","0","1","0","0"
"06","008","0","1","1","0","0","1","0","0"
"06","009","0","1","1","0","0","1","0","0"
"06","010","0","1","1","0","0","1","0","0"
"06","011","0","1","1","0","0","1","0","0"
"06","012","0","1","1","0","0","1","0","0"
"06","013","0","1","1","0","0","1","0","0"
"06","014","0","1","1","0","0","1","0","0"
"06","015","0","1","1","0","0","1","0","0"
"06","016","0","1","1","0","0","1","0","0"
"06","017","0","1","1","0","0","1","0","0"
"06","018","0","1","1","0","0","1","0","0"
"06","019","0","1","1","0","0","1","0","0"
"06","020","0","1","1","0","0","1","0","0"
"06","021","0","1","1","0","0","1","0","0"
"06","022","0","1","1","0","0","1","0","0"
"06","023","0","1","1","0","0","1","0","0"
"06","024","0","1","1","0","0","1","0","0"
"06","025","0","1","1","0","0","1","0","0"
"06","999","0","1","1","0","0","1","0","0"
"07","001","0","0","1","0","0","0","0","0"
"07","002","0","0","1","0","0","0","0","0"
"07","003","0","0","1","0","0","0","0","0"
"07","004","0","0","1","0","0","0","0","0"
"07","005","0","0","1","0","0","0","0","0"
"07","006","0","0","1","0","0","0","0","0"
"07","007","0","0","1","0","0","0","0","0"
"07","008","0","0","1","0","0","0","0","0"
"07","009","0","0","1","0","0","0","0","0"
"07","010","0","0","1","0","0","0","0","0"
"07","011","0","0","1","0","0","0","0","0"
"07","012","0","0","1","0","0","0","0","0"
"07","013","0","0","1","0","0","0","0","0"
"07","014","0","0","1","0","0","0","0","0"
"07","015","0","0","1","0","0","0","0","0"
"07","999","0","0","1","0","0","0","0","0"
"08","001","0","1","1","0","0","0","0","0"
"08","002","0","1","1","0","0","0","0","0"
"08","003","0","1","1","0","0","0","0","0"
"08","004","0","1","1","0","0","0","0","0"
"08","005","0","1","1","0","0","0","0","0"
"08","006","0","1","1","0","0","0","0","0"
"08","007","0","1","1","0","0","0","0","0"
"08","008","0","1","1","0","0","0","0","0"
"08","009","0","1","1","0","0","0","0","0"
"08","010","0","1","1","0","0","0","0","0"
"08","011","0","1","1","0","0","0","0","0"
"08","012","0","1","1","0","0","0","0","0"
"08","013","0","1","1","0","0","0","0","0"
"08","014","0","1","1","0","0","0","0","0"
"08","015","0","1","1","0","0","0","0","0"
"08","016","0","1","1","0","0","0","0","0"
"08","017","0","1","1","0","0","0","0","0"
"08","018","0","1","1","0","0","0","0","0"
"08","999","0","1","1","0","0","0","0","0"
"09","001","0","0","1","0","0","0","0","0"
"09","002","0","0","1","0","0","0","0","0"
"09","003","0","0","1","0","0","0","0","0"
"09","004","0","0","1","0","0","0","0","0"
"09","005","0","0","1","0","0","0","0","0"
"09","006","0","0","1","0","0","0","0","0"
"09","007","0","0","1","0","0","0","0","0"
"09","008","0","0","1","0","0","0","0","0"
"09","009","0","0","1","0","0","0","0","0"
"09","999","0","0","1","0","0","0","0","0"
"10","001","0","0","1","0","0","1","0","0"
"10","002","0","0","1","0","0","1","0","0"
"10","003","0","0","1","0","0","1","0","0"
"10","004","0","0","1","0","0","1","0","0"
"10","005","0","0","1","0","0","1","0","0"
"10","006","0","0","1","0","0","1","0","0"
"10","007","0","0","1","0","0","1","0","0"
"10","008","0","0","1","0","0","1","0","0"
"10","009","0","0","1","0","0","1","0","0"
"10","010","0","0","1","0","0","1","0","0"
"10","011","0","0","1","0","0","1","0","0"
"10","012","0","0","1","0","0","1","0","0"
"10","013","0","0","1","0","0","1","0","0"
"10","014","0","0","1","0","0","1","0","0"
"10","015","0","0","1","0","0","1","0","0"
"10","016","0","0","1","0","0","1","0","0"
"10","999","0","0","1","0","0","1","0","0"
"11","001","0","0","1","0","0","0","0","0"
"11","002","0","0","1","0","0","0","0","0"
"11","003","0","0","1","0","0","0","0","0"
"11","004","0","0","1","0","0","0","0","0"
"11","005","0","0","1","0","0","0","0","0"
"11","006","0","0","1","0","0","0","0","0"
"11","007","0","0","1","0","0","0","0","0"
"11","008","0","0","1","0","0","0","0","0"
"11","009","0","0","1","0","0","0","0","0"
"11","010","0","0","1","0","0","0","0","0"
